msft,timestamp,open,high,low,close,volume
msft,2025-10-20,514.6100,518.7000,513.4300,516.7900,14665620
msft,2025-10-17,509.0400,515.4800,507.3100,513.5800,19867765
msft,2025-10-16,512.5800,516.8500,508.1300,511.6100,15559565
msft,2025-10-15,514.9550,517.1900,510.0000,513.4300,14694654
msft,2025-10-14,510.2250,515.2820,506.0000,513.5700,14684300
msft,2025-10-13,516.4100,516.4100,511.6800,514.0500,14284238
msft,2025-10-10,519.6400,523.5800,509.6300,510.9600,24133840
msft,2025-10-09,522.3350,524.3250,517.4000,522.4000,18343602
msft,2025-10-08,523.2800,526.9500,523.0900,524.8500,13363447
msft,2025-10-07,528.2850,529.8000,521.4400,523.9800,14615208
msft,2025-10-06,518.6100,531.0300,518.2000,528.5700,21388581
msft,2025-10-03,517.1000,520.4900,515.0000,517.3500,15112321
msft,2025-10-02,517.6400,521.6000,510.6791,515.7400,21222886
msft,2025-10-01,514.8000,520.5050,511.6900,519.7100,22632336
msft,2025-09-30,513.2400,518.1600,509.6600,517.9500,19728229
msft,2025-09-29,511.5000,516.8450,508.8800,514.6000,17617775
msft,2025-09-26,510.0600,513.9400,506.6200,511.4600,16213129
msft,2025-09-25,508.3000,510.0100,505.0400,507.0300,15786468
msft,2025-09-24,510.3800,512.4800,506.9200,510.1500,13533711
msft,2025-09-23,513.8000,514.5899,507.3100,509.2300,19799580
msft,2025-09-22,515.5900,517.7400,512.5450,514.4500,20009314
msft,2025-09-19,510.5600,519.3000,510.3100,517.9300,52474093
msft,2025-09-18,511.4900,513.0700,507.6600,508.4500,18913696
msft,2025-09-17,510.6200,511.2900,505.9300,510.0200,15816585
msft,2025-09-16,516.8800,517.2300,508.6000,509.0400,19711922
msft,2025-09-15,508.7900,515.4700,507.0000,515.3600,17143786
msft,2025-09-12,506.6500,512.5500,503.8500,509.9000,23624884
msft,2025-09-11,502.2500,503.1700,497.8800,501.0100,18881608
msft,2025-09-10,502.9800,503.2299,496.7200,500.3700,21611816
msft,2025-09-09,501.4300,502.2500,497.7000,498.4100,14410542
msft,2025-09-08,498.1050,501.1950,495.0300,498.2000,16771015
msft,2025-09-05,509.0700,511.9700,492.3700,495.0000,31994846
msft,2025-09-04,504.3000,508.1500,503.1500,507.9700,15509486
msft,2025-09-03,503.7900,507.7900,502.3200,505.3500,15995154
msft,2025-09-02,500.4650,506.0000,496.8100,505.1200,18127995
msft,2025-08-29,508.6600,509.6000,504.4915,506.6900,20961569
msft,2025-08-28,507.0900,511.0900,505.5000,509.6400,18015593
msft,2025-08-27,502.0000,507.2900,499.9000,506.7400,17277893
msft,2025-08-26,504.3550,504.9778,498.5100,502.0400,30835709
msft,2025-08-25,506.6300,508.1900,504.1200,504.2600,21638579
msft,2025-08-22,504.2500,510.7300,502.4100,507.2300,24324161
msft,2025-08-21,503.6900,507.6300,502.7201,504.2400,18443254
msft,2025-08-20,509.8650,511.0000,504.4400,505.7200,27723025
msft,2025-08-19,515.0000,515.1641,508.5500,509.7700,21481016
